,MRSBE,MTSP,VBSS-1,VBSS-5,VBSS-10
Config1_6_Rand_Instance_0.txt,16319,13807,29496,24969,27583
Config1_6_Rand_Instance_1.txt,15539,13575,29795,25265,25046
Config1_6_Rand_Instance_2.txt,16249,13722,33234,29583,27779
Config1_6_Rand_Instance_3.txt,16123,13805.0000000031,31160,26703,28739
Config1_6_Rand_Instance_4.txt,16107,13729,30285,28016,25919
Config1_6_Rand_Instance_5.txt,15890,13884.7791297964,29826,29033,25371
Config1_6_Rand_Instance_6.txt,16377,13865.9761031034,27837,34335,25046
Config1_6_Rand_Instance_7.txt,16327,13848.3528815455,34151,27968,29232
Config1_6_Rand_Instance_8.txt,15912,13822.9429013833,30501,28428,26569
Config1_6_Rand_Instance_9.txt,16229,13843,32139,30548,28506
Config1_6_Rand_Instance_10.txt,16228,13777.9999999999,32813,24807,29052
Config1_6_Rand_Instance_11.txt,16338,13650.8423881502,38739,25325,34157
Config1_6_Rand_Instance_12.txt,15533,13606.6375,32694,26736,27969
Config1_6_Rand_Instance_13.txt,16314,13879,32494,29568,28635
Config1_6_Rand_Instance_14.txt,16211,13740,34228,27442,30590
Config1_6_Rand_Instance_15.txt,15564,13929,27834,27299,24647
Config1_6_Rand_Instance_16.txt,15811,13750,28239,25156,25676
Config1_6_Rand_Instance_17.txt,16362,13937,29787,27608,26291
Config1_6_Rand_Instance_18.txt,15919,13504,33778,28204,29233
Config1_6_Rand_Instance_19.txt,16262,13828,30997,26098,27363
Config1_6_Rand_Instance_20.txt,16394,13723,29802,28202,28437
Config1_6_Rand_Instance_21.txt,15835,13856.411162649,32149,28179,27941
Config1_6_Rand_Instance_22.txt,16083,13702,30612,27142,27067
Config1_6_Rand_Instance_23.txt,16287,13731,31820,28651,28216
Config1_6_Rand_Instance_24.txt,16038,13974,33871,29489,29814
